%time,field
1770290516133040665,42.2
1770290516173168345,40.3
1770290516193070034,40.8
1770290516253086966,39.4
1770290516272910845,42.7
1770290516353186848,40.3
1770290516373151207,42.7
1770290516413131997,41.3
1770290516433115883,42.7
1770290516473062348,38.9
1770290516493014646,38.0
1770290516513099440,42.2
1770290516553173995,37.1
1770290516573139698,38.9
1770290516593058536,40.8
1770290516632916970,43.2
1770290516652937337,38.0
1770290516713301368,38.5
1770290516733246866,41.3
1770290516773093394,38.9
1770290516793097152,41.3
1770290516813100388,38.5
1770290516853164896,39.9
1770290516893199994,40.3
1770290516953226485,40.8
1770290517033148401,39.9
1770290517153101632,39.4
1770290517173199405,37.5
1770290517193130990,43.2
1770290517253184837,43.6
1770290517273128297,39.4
1770290517313140985,40.8
1770290517333266483,38.5
1770290517353165145,40.8
1770290517392985851,41.7
1770290517413169868,39.4
1770290517453117220,41.7
1770290517473114155,39.4
1770290517493044348,38.0
1770290517533119830,41.3
1770290517553107683,41.3
1770290517573137208,37.5
1770290517613244241,38.9
1770290517633178068,39.9
1770290517693216630,41.7
1770290517713213898,43.6
1770290517773301959,40.3
1770290517793153538,40.3
1770290517853250093,38.9
1770290517873167183,40.3
1770290517913163767,38.0
1770290517933168522,41.7
1770290517953200603,38.9
1770290517993107724,41.7
1770290518073238108,41.7
1770290518093060335,43.2
1770290518133044628,41.7
1770290518153165672,40.3
1770290518213260351,41.7
1770290518253148699,39.4
1770290518373155616,38.9
1770290518393080065,40.8
1770290518473225997,43.6
1770290518533273445,39.4
1770290518593161379,40.8
1770290518613212574,38.9
1770290518633248428,42.7
1770290518673058635,42.7
1770290518713244417,42.2
1770290518753175711,43.6
1770290518793190268,38.5
1770290518833079110,44.1
1770290518873113592,42.2
1770290518913134770,39.4
1770290518933202638,39.9
1770290518973109030,39.9
1770290518993088732,40.8
1770290519053138429,41.7
1770290519073225831,39.9
1770290519093044345,42.7
1770290519133103347,40.3
1770290519213248279,40.3
1770290519233242619,40.3
1770290519272951918,43.2
1770290519292966217,38.0
1770290519313228386,38.5
1770290519353125923,41.3
1770290519373124118,42.2
1770290519433203238,42.2
1770290519473195916,41.7
1770290519513144265,41.7
1770290519533225001,41.7
1770290519613260403,38.0
1770290519733098973,41.3
1770290519753224749,40.8
1770290519833195255,42.2
1770290519893143357,42.7
1770290519912952942,42.7
1770290519933055424,41.7
1770290519973197238,42.2
1770290520053283971,39.9
1770290520133244169,38.0
1770290520153160141,41.7
1770290520273253457,43.2
1770290520313234415,38.5
1770290520353043257,43.6
1770290520373173425,41.3
1770290520393126146,43.6
1770290520433050252,38.5
1770290520453120290,43.6
1770290520493056329,38.5
1770290520533163531,44.6
1770290520673313052,38.5
1770290520693202830,41.3
1770290520753186315,38.9
1770290520773079896,42.7
1770290520813121120,39.9
1770290520832928358,40.8
1770290520873005485,38.9
1770290520892918518,39.9
1770290520953061185,40.8
1770290520973165144,39.9
1770290520993144189,42.2
1770290521033126404,42.2
1770290521073121468,38.0
1770290521113247727,39.4
1770290521173212486,37.1
1770290521192933411,43.6
1770290521252891884,38.9
1770290521333113763,43.6
1770290521373193607,42.7
1770290521413164019,39.4
1770290521433198937,39.4
1770290521453201697,43.2
1770290521492980103,43.6
1770290521573102507,38.0
1770290521593107753,38.9
1770290521633190562,42.7
1770290521653124729,39.4
1770290521673152489,42.2
1770290521713126474,39.4
1770290521732955214,40.3
1770290521793185618,39.9
1770290521953255219,42.2
1770290522013291941,39.4
1770290522053235328,39.9
1770290522092879993,42.2
1770290522112991412,43.6
1770290522173148855,39.9
1770290522193034154,40.3
1770290522213100633,39.9
1770290522273101066,41.7
1770290522313111907,39.9
1770290522353190204,40.8
1770290522473125811,43.2
1770290522553116506,39.9
1770290522573162475,44.1
1770290522633078379,42.2
1770290522653193975,44.1
1770290522713232586,42.7
1770290522733266098,37.1
1770290522793252098,43.2
1770290522813187880,41.7
1770290522853123162,41.7
1770290522893224413,41.7
1770290522932994920,41.3
1770290522953049574,39.9
1770290522973081605,41.7
1770290523013159183,42.7
1770290523072950271,38.0
1770290523153011474,41.7
1770290523253184073,42.7
1770290523273154540,40.8
1770290523313082970,43.6
1770290523333134747,40.3
1770290523373123118,41.7
1770290523413150672,42.7
1770290523453039396,43.2
1770290523473018861,41.7
1770290523533015387,39.4
1770290523552880148,38.9
1770290523572950108,40.3
1770290523613100793,43.6
1770290523633025627,39.4
1770290523693307503,41.7
1770290523752944528,42.2
1770290523772888186,42.2
1770290523793082181,38.9
1770290523853154006,39.9
1770290523873097574,42.7
1770290523912949620,42.7
1770290523932933659,39.4
1770290523993174405,39.9
1770290524013169972,38.5
1770290524053005047,42.2
1770290524073028257,39.4
1770290524093133285,42.2
1770290524153110357,44.1
1770290524173137258,39.9
1770290524213139561,41.3
1770290524233127888,42.7
1770290524272909251,41.3
1770290524313221166,37.1
1770290524353019433,40.3
1770290524373093802,40.8
1770290524433128605,41.7
1770290524453135388,39.4
1770290524473129099,40.3
1770290524513149673,43.6
1770290524533137801,39.4
1770290524593157816,42.7
1770290524613073022,41.7
1770290524673162482,42.2
1770290524693204505,40.3
1770290524733121042,38.9
1770290524753153319,38.9
1770290524773076147,42.2
1770290524813115758,37.5
1770290524833018633,39.9
1770290524853176098,42.7
1770290524893140233,40.3
1770290524913160703,39.9
1770290524953054684,39.4
1770290524973123383,44.6
1770290524993183629,40.8
1770290525033072310,38.9
1770290525053131635,41.3
1770290525113128139,41.3
1770290525133179869,41.3
1770290525213179023,39.4
1770290525253120210,41.7
1770290525293126520,43.6
1770290525373200183,43.6
1770290525413068792,43.6
1770290525433130889,38.9
1770290525452972468,38.5
1770290525513244219,40.8
1770290525553065356,42.7
1770290525593114551,43.2
1770290525633172835,41.7
1770290525673089320,38.0
1770290525713104698,43.2
1770290525732889538,39.9
1770290525793197424,39.4
1770290525813119555,38.9
1770290525893243669,39.4
1770290526013206066,39.9
1770290526033132563,40.3
1770290526053116304,41.3
1770290526093061377,39.4
1770290526113222915,38.9
1770290526133013625,42.7
1770290526193204340,41.7
1770290526233024399,37.5
1770290526313203082,41.7
1770290526333131891,42.2
1770290526353086333,41.3
1770290526413275487,40.3
1770290526453079789,39.4
1770290526473155778,43.2
1770290526493113667,40.8
1770290526533098902,40.3
1770290526573080047,44.1
1770290526613101536,38.9
1770290526633099170,39.4
1770290526653150254,41.3
1770290526693117202,38.5
1770290526733168072,42.2
1770290526833010825,39.4
1770290526913097543,39.4
1770290526953192364,41.3
1770290527013260715,42.7
1770290527093327331,40.3
1770290527113156634,39.9
1770290527173174502,38.5
1770290527253307519,39.4
1770290527333286589,41.7
1770290527373129735,38.9
1770290527393270905,41.7
1770290527413056860,44.6
1770290527553321130,42.7
1770290527573218929,38.0
1770290527613208031,41.7
1770290527632901260,43.2
1770290527693222362,40.3
1770290527713310373,39.9
1770290527753121946,37.5
1770290527793224871,40.8
1770290527833104537,39.4
1770290527853240211,42.7
1770290527873095345,40.8
1770290527913167479,42.2
1770290527933007279,43.2
1770290527973180130,38.9
1770290527993162031,44.1
1770290528013158868,41.7
1770290528093247595,38.9
1770290528133116856,38.5
1770290528153083678,42.2
1770290528173224230,39.4
1770290528233111696,38.5
1770290528273204140,41.3
1770290528293220870,40.8
1770290528312997161,42.2
1770290528353000957,38.9
1770290528373252787,38.9
1770290528393109444,41.7
1770290528453189035,38.9
1770290528513143330,41.7
1770290528533251351,39.4
1770290528613194842,39.4
1770290528653176495,42.7
1770290528733026215,40.8
1770290528753095807,39.4
1770290528773187620,39.9
1770290528833138351,41.7
1770290528873172327,38.9
1770290528913118755,38.0
1770290528993220721,38.5
1770290529033044490,38.5
1770290529053204117,39.4
1770290529113064855,38.9
1770290529193205194,41.7
1770290529213214868,43.2
1770290529253056074,41.7
1770290529373233275,39.9
1770290529413102922,40.3
1770290529433156076,39.4
1770290529493303250,43.2
1770290529513220766,38.9
1770290529573205024,41.7
1770290529633050954,40.8
1770290529653262242,43.6
1770290529673187754,42.7
1770290529713136665,43.6
1770290529753173889,41.3
1770290529793150260,42.7
1770290529812976308,38.5
1770290529953315056,42.7
1770290529973263549,41.3
1770290530053292306,43.2
1770290530093096556,39.4
1770290530113164951,41.3
1770290530153154214,40.3
1770290530173256559,38.5
1770290530273109377,43.2
1770290530353288520,42.2
1770290530413227632,38.9
1770290530473190758,43.6
1770290530493220612,44.1
1770290530533019087,42.7
1770290530553247496,43.2
1770290530573129089,43.2
1770290530613118631,38.9
1770290530653246271,43.6
1770290530693253248,38.9
1770290530713130652,40.3
1770290530733053818,40.8
1770290530773097767,42.2
1770290530833262909,38.5
1770290530873136702,41.3
1770290530913027791,41.3
1770290530932938962,38.9
1770290530952970317,42.7
1770290531033214750,40.3
1770290531073191433,41.7
1770290531113184677,38.9
1770290531173142443,42.7
1770290531213010885,41.7
1770290531233142236,38.9
1770290531313222379,44.1
1770290531393232813,41.7
1770290531413235574,42.2
1770290531513107159,38.0
1770290531553241120,41.7
1770290531593195745,39.9
1770290531613179088,40.8
1770290531633187446,38.5
1770290531713228301,39.4
1770290531753120869,38.9
1770290531773197949,42.7
1770290531853284465,39.9
1770290531893189843,40.8
1770290531913232375,43.6
1770290531933273720,38.9
1770290531973197363,40.3
1770290531993238153,40.8
1770290532053277976,42.2
1770290532073175081,44.1
1770290532112969167,38.0
1770290532133234661,38.9
1770290532153083261,40.3
1770290532193168459,41.3
1770290532233191004,39.9
1770290532273150772,41.3
1770290532313177557,39.9
1770290532353095415,38.5
1770290532453166621,41.3
1770290532493052810,42.2
1770290532513047720,42.2
1770290532573038726,40.3
1770290532592908095,41.3
1770290532653061948,38.0
1770290532672968187,40.3
1770290532713114343,44.1
1770290532733176941,44.1
1770290532753137290,41.7
1770290532793238913,42.7
1770290532813148817,43.6
1770290532873162221,38.9
1770290532893139267,39.9
1770290532913094777,38.0
