%time,field.angle,field.distance
1770290513413172730,90.0,38.0
1770290513453083267,90.0,39.4
1770290513513179598,90.0,42.7
1770290513533164348,90.0,43.6
1770290513553198772,90.0,38.9
1770290513593090366,90.0,43.2
1770290513613133554,90.0,42.2
1770290513673205524,90.0,42.7
1770290513693202227,90.0,37.5
1770290513713156916,90.0,44.1
1770290513753012350,82.2,42.7
1770290513833190860,90.0,38.9
1770290513873235575,90.0,40.8
1770290513913216312,90.0,41.7
1770290513933124335,90.0,41.3
1770290513993210351,90.0,37.5
1770290514013203577,90.0,38.9
1770290514052818217,90.0,41.3
1770290514072952075,90.0,38.5
1770290514092889589,90.0,43.2
1770290514132940430,90.0,43.2
1770290514152799358,90.0,38.9
1770290514172888633,90.0,43.6
1770290514212870707,90.0,42.2
1770290514293083276,90.0,43.6
1770290514353217670,90.0,40.3
1770290514373126645,90.0,42.7
1770290514433130179,90.0,40.3
1770290514453176788,90.0,40.8
1770290514473104616,90.0,43.6
1770290514513140936,90.0,40.8
1770290514533177275,90.0,42.2
1770290514593180642,90.0,42.7
1770290514613142428,90.0,38.5
1770290514652959999,90.0,42.2
1770290514672890056,86.0,38.9
1770290514693070459,82.0,42.2
1770290514733073194,90.0,40.8
1770290514753176681,90.0,38.9
1770290514773052976,90.0,42.7
1770290514813069350,90.0,38.9
1770290514873301388,90.0,39.9
1770290514892812969,90.0,38.9
1770290514912977617,90.0,40.8
1770290514953080032,90.0,41.7
1770290514973130198,90.0,43.6
1770290514993199923,90.0,39.4
1770290515073205430,90.0,39.9
1770290515153146629,90.0,39.4
1770290515192874053,90.0,41.7
1770290515212950069,90.0,41.7
1770290515273111343,90.0,38.9
1770290515292956461,90.0,38.5
1770290515333098784,90.0,44.6
1770290515373051983,90.0,40.3
1770290515413108389,90.0,42.2
1770290515453190249,90.0,40.8
1770290515593182256,90.0,43.6
1770290515653186980,90.0,36.6
1770290515713229865,90.0,39.9
1770290515733249111,90.0,38.9
1770290515793028130,90.0,38.9
1770290515893139285,90.0,41.7
1770290515913155261,90.0,38.5
1770290515953178532,90.0,37.1
1770290516093058908,90.0,37.1
1770290516113124963,90.0,39.9
1770290516133040665,90.0,42.2
1770290516173168345,90.0,40.3
1770290516193070034,90.0,40.8
